asteroid,crater_id,crater,lat,lon,diameter_m,diameter_min_m,diameter_max_m,diameter_range_m,diameter_range_pct,depth_m,depth_min_m,depth_max_m,depth_range_m,depth_range_pct,d_to_D,d_to_D_min,d_to_D_max,global_scaling_predicted_depth_m,depth_ratio_to_global_scaling,log10_depth_residual
Didymos,15,crater_15,-43.9,5.3,58.055572750396486,52.03239440917969,62.36498072167393,10.332586312494243,17.797751056419777,1.96572723618516,1.9247881603830592,1.9965044689768088,0.07171630859374956,3.6483346861962236,0.03385940648000472,0.03086328478113568,0.0383704131175747,3.3698383098297424,0.5833298382451104,-0.23408580815121305
Didymos,16,crater_16,-77.7,152.6,37.14597205079286,30.13527488708496,43.536213919128336,13.400939032043375,36.076425766215316,0.1414240803916489,0.1380579664817105,0.1436397066490258,0.005581740167315302,3.9468102969859613,0.0038072521079342784,0.003171106397496189,0.004766497308792936,2.181045800587721,0.06484232488540116,-1.1881414221578885
Didymos,17,crater_17,,,106.99031116866897,93.0188980102539,126.26105097821215,33.24215296795825,31.070246085696848,5.633107426145879,5.578762030409166,5.71192150863493,0.1331594782257639,2.363872515686611,0.05265063130123392,0.044184346535907165,0.06140603286877553,6.113373966788345,0.9214400193327658,-0.03553292970222077
Didymos,18,crater_18,,,36.506315467156654,29.836254119873047,47.6164094094532,17.78015528958015,48.70432707890305,1.585255239123531,1.5723913595572867,1.5990303365126124,0.02663897695532569,1.6804219470710637,0.043424136860640596,0.033022048051466954,0.05359353523697016,2.1444458485284965,0.7392377103909255,-0.13121588675960083
Didymos,19,crater_19,,,157.57289794067097,146.76382446289062,170.449483853257,23.685659390366368,15.03155663182919,7.4537823715511236,7.011499071006256,7.806128097951444,0.7946290269451879,10.660748963882433,0.04730370811836949,0.041135349386229765,0.053188366591831564,8.914429873692148,0.836147962030458,-0.0777168644180608
Didymos,20,crater_20,,,95.3828822908099,81.40017700195312,112.35412311295154,30.953946110998416,32.4523073402457,6.791340307526582,6.491906872918037,6.990584520583411,0.4986776476653745,7.342845816645489,0.07120082916786552,0.057780762227938987,0.08587922997287437,5.46625272676424,1.2424124252935393,0.09426578609577285
Itokawa,1,crater_1,25.0,348.0,136.66374164088575,93.50059509277344,178.80168578103027,85.30109068825683,62.41676809376721,11.533298834191202,10.377175080357688,12.642493084907612,2.2653180045499237,19.6415443414528,0.08439179767591538,0.05803734475449023,0.1352129692047782,7.759890099786233,1.4862708989279265,0.17209797442255192
Itokawa,2,crater_2,-10.0,175.0,141.94113084022945,126.96345520019533,167.43592282804647,40.472467627851145,28.51355867624263,1.306890881910839,0.1871580181526155,2.900847143602931,2.7136891254503155,207.6446597808197,0.009207273988692468,0.0011177889128656296,0.022847890670814608,8.05169481737346,0.16231252072432112,-0.7896479775752074
Itokawa,3,crater_3,-2.0,275.0,127.79918905349582,80.18186950683594,164.83776891800196,84.65589941116602,66.24134318702887,9.5650281635675,9.152876804077636,9.821046660149108,0.6681698560714722,6.985550326098179,0.07484420076847005,0.05552657539687222,0.12248463051004081,7.2690801591401115,1.3158512430957958,0.11920679508776988
Itokawa,4,crater_4,0.0,128.0,104.37306403154751,62.90121841430664,134.02711682469467,71.12589841038803,68.14583730998807,7.337503704250104,5.476925962064442,7.829211943242726,2.3522859811782837,32.058395824942046,0.07030074063967587,0.04086431232590173,0.12446836707795793,5.96762588290936,1.2295515583950944,0.08974674458918108
Itokawa,5,crater_5,40.0,112.0,104.38117795050542,81.47356414794922,136.68606028717642,55.2124961392272,52.895069037645264,6.312867437555436,5.415298897313988,6.88682769565574,1.471528798341752,23.309990474179504,0.06047898252833301,0.039618516225696204,0.08452837147457835,5.968077871255375,1.0577722968329057,0.02439218861400194
Itokawa,6,crater_6,8.0,8.0,82.55657073109148,49.42524719238281,95.33947971988148,45.91423252749867,55.615479326356024,1.671748975026767,1.3510105700987936,2.184537527571109,0.8335269574723156,49.859576403148075,0.02024973857589233,0.014170525936036365,0.044198818451388136,4.748801632687669,0.35203596703630063,-0.4534129629780709
Itokawa,7,crater_7,-8.0,17.0,83.97895624573752,66.54972839355469,109.14182511650446,42.592096722949776,50.71758286482823,4.751025469498114,1.6887814880464305,6.584212760070045,4.895431272023615,103.03946597324293,0.05657399998632705,0.01547327512842785,0.09893673376295437,4.828497881593953,0.9839551732245425,-0.00702468659373523
Itokawa,8,crater_8,15.0,172.0,67.37303281489517,60.06558227539063,80.82768111884786,20.76209884345723,30.81663089221514,1.0928099574225436,0.7795646331988735,1.402218137767079,0.6226535045682056,56.97729054709296,0.016220287431990738,0.009644772959063528,0.023344785560192254,3.895728289047282,0.2805149323413916,-0.552044015474273
Itokawa,9,crater_9,20.0,134.0,63.88194415103028,52.61664962768555,104.06333490269247,51.44668527500693,80.5340005829757,3.611184982904616,2.4075953165866224,4.321588065469541,1.9139927488829187,53.00179187562472,0.056529040105088524,0.02313586546921561,0.08213347098397597,3.6989206934310017,0.9762807267854654,-0.010425284214899633
Itokawa,10,crater_10,-40.0,244.0,55.62412509179022,39.16720581054688,75.50325119807827,36.33604538753139,65.3242551277348,0.6702869702297747,0.0947386200085418,1.0410003224105535,0.9462617024020117,141.17262373124046,0.012050292370867419,0.0012547621262030252,0.02657836577482468,3.2322596137652457,0.20737411295033947,-0.6832454586726905
Itokawa,11,crater_11,-6.0,151.0,48.774142432040605,41.482540130615234,55.69130781306792,14.208767682452688,29.131763212957477,0.5753216108543668,0.0302447700689469,0.7886090339073633,0.7583642638384164,131.8157096014917,0.011795627399415387,0.0005430788260614341,0.019010625468553418,2.8438102074906326,0.20230661291634805,-0.6939899209556406
Itokawa,12,crater_12,17.0,215.0,43.08742483236247,33.66812896728516,49.331404170046085,15.663275202760921,36.3523122203312,3.3249813095419825,3.154962010750097,3.533119268783849,0.378157258033752,11.373214548560675,0.07716825320794356,0.06395443356679846,0.10493957868038732,2.520265181576633,1.3192981968119455,0.12034296885418705
Itokawa,13,crater_13,34.0,269.0,36.27302124784576,27.88833999633789,44.069787739515874,16.181447743177984,44.61014601627371,1.1505237161192985,1.0072317987997792,1.3238758695823094,0.3166440707825302,27.52173348069404,0.031718441876071396,0.02285538121384299,0.04747058698209187,2.1310930997899855,0.5398749196985716,-0.26770684754174967
Itokawa,14,crater_14,4.0,145.0,40.32402508208343,24.291316986083984,61.02228254258825,36.730965556504266,91.08953156768169,1.2421126123564952,0.611455851729346,1.965627264756506,1.35417141302716,109.02162972631528,0.030803289349911264,0.010020206164897273,0.08091892530497935,2.3626531299376063,0.5257278762664993,-0.27923899428128474
Itokawa,15,crater_15,-10.0,102.0,28.56031908724818,23.70374870300293,39.76219717572968,16.058448472726752,56.226432287644315,1.3953003482150323,1.1870828416540746,1.7014008665603342,0.5143180249062596,36.86073937874464,0.04885450838110616,0.029854558499565368,0.07177771279463449,1.688309254542461,0.8264483206858715,-0.08278429846600407
Itokawa,16,crater_16,-18.0,205.0,25.581224729580576,16.20087432861328,34.07228139241599,17.871407063802707,69.86142083782758,3.332923862407995,3.0898055762751824,3.7804794044001824,0.690673828125,20.722760454119616,0.13028789268849994,0.09068384769101284,0.23335033206962563,1.5164942264343797,2.1977820978880027,0.3419846315014966
Itokawa,17,crater_17,-26.0,216.0,29.764657079032727,23.696216583251957,35.30925876691106,11.6130421836591,39.01621360133101,2.0576902318942265,1.8945824473584736,2.736547169038161,0.8419647216796875,40.91795298579071,0.0691319986126679,0.053656817319935386,0.11548456098144805,1.757634104082422,1.1707159226797377,0.06845152514936423
Itokawa,18,crater_18,-36.0,221.0,26.093544179830456,13.236233711242676,37.38669549398298,24.1504617827403,92.55339794510512,1.1323284922681116,0.4962171443958567,1.59722287971843,1.1010057353225733,97.23377472531868,0.04339496714069867,0.013272559605480991,0.12067049544174872,1.546076599837072,0.7323883515133973,-0.13525857168012273
Itokawa,19,crater_19,-33.0,212.0,25.633018359681763,21.22297477722168,30.15997320104156,8.93699842381988,34.86518169033463,1.3935806481726245,1.3476989953405931,1.4203918664343431,0.07269287109375,5.216265824950336,0.05436662310376178,0.04468501965691571,0.06692708639313041,1.5194855840011308,0.9171397628551555,-0.03756447718533942
Itokawa,20,crater_20,-15.0,254.0,37.88286071446508,28.49730491638184,45.8156875616582,17.318382645276362,45.71561470980348,1.7603581914962774,0.5598273125691549,2.007145035004441,1.4473177224352862,82.21722882461144,0.04646845983371333,0.012219118436577995,0.07043280201036212,2.223189118085393,0.7918166642576476,-0.10137536249921544
Itokawa,21,crater_21,-18.0,7.0,19.49260144935719,11.875566482543944,27.164810675788612,15.289244193244668,78.43614015793086,0.8793442393248512,0.6232020204306536,0.9893434074164134,0.3661413869857597,41.638003709091016,0.045111692331546105,0.022941519006650014,0.08330915488289865,1.1636583769337143,0.7556721601076408,-0.1216665774306882
